"X","sentence","head","tail","rel_head_tail","rel_tail_head"
5062,"On the evening ofApril 10, 2016, Manafort emailed Kilimnik.","Manafort","Kilimnik","neutral","neutral"
5063,"On July 22, 2016, WikiLeaks released over 20,000 emails and other documents stolen from the DNC computer networks.","WikiLeaks","DNC","neutral","neutral"
5064,"So Irakly “Ike” Kaveladze was a bit nervous that Irakly “Ike” Kaveladze and Natalia Veselnitskaya are not going to have much time to read it because Natalia Veselnitskaya was running late.","Irakly “Ike” Kaveladze","Natalia Veselnitskaya","negative","none"
5065,"“Mr McGahn will not comment on his legal advice to the president,” said Mr McGahn’s lawyer, William Burck.","William Burck","McGahn","neutral","none"
5066,"The first known Twitter correspondence between the two GRU personas occurred on September 15, 2016, when the Guccifer 2.0 account notified the DCLeaks account that WikiLeaks was seeking to communicate with it through secure email.","Guccifer 2.0","DCLeaks","neutral","neutral"
5067,"In his decade at the center of Trump’s inner circle, Cohen styled himself as the tycoon’s pugnacious man Friday, an indefatigable loyalist who aped his boss’s husky-voiced bluster.","Cohen","Trump","positive","none"
5068,"Later, after the filing of a winding up petition in which Kilimnik was named as a participant in Pericles, Kilimnik claimed that when Pericles started in 2007, Kilimnik was working for Manafort and living in Moscow and that he had ""zero involvement in this thing, did not even manage translation of documents.""","Kilimnik","Manafort","neutral","none"
5069,"The GRU used this website and affiliated social media personas to promote and disseminate stolen documents from the DNC and DCCC, while obscuring the GRU's involvement in the influence campaign.","GRU","DCCC","negative","none"
5070,"The data was subsequently leaked by GRU personas and WikiLeaks at strategic moments during the 2016 election, as part of a coordinated hack--and-leak operation intended to damage the Clinton Campaign, help the Trump Campaign (the ""Campaign""), and undermine the U.S. democratic process.","WikiLeaks","the Clinton Campaign","negative","none"
5071,"Caputo notified Roger Stone and brokered communication between Stone and Oknyansky. Oknyansky and Stone set up a May 2016 in-person meeting","Stone","Oknyansky","neutral","neutral"
5072,"In addition, the GRU had very likely used direct messaging between the Guccifer 2.0 and DCLeaks personas to mask the hand of the Russian government.","GRU","the Russian Government","positive","none"
5073,"The Rotenbergs have amassed their wealth largely through obtaining lucrative Russian government contracts.","Rotenbergs","Russian government","positive","none"
5074,"However, if true, this lends support to the conclusion that Cohen's initial false statements to the Committee were aided by other members of the alleged JDA, namely the Trump Organization.","Trump Organization","Cohen","positive","none"
5075,"Kushner and his wife, Ivanka Trump, who are both senior advisers to Donald Trump, were angered by revelations about Bannon’s interactions with Special Counsel Robert Mueller that emerged on Saturday, three people familiar with the matter said","Ivanka Trump","Donald Trump","positive","positive"
5076,"Their narrative was not a pro-troops defense; instead, it was about Bannon’s leaks and his use of right-wing media to besmirch McMaster, “one of the most decorated and respected generals of his generation.”","Bannon","McMaster","negative","negative"
5077,"The next day, Conway was on Twitter fending off reports of her own demise–“Uninformed chatter doesn’t matter”–just hours before the Office of Government Ethics suggested that the White House discipline her for likely breaking government rules when she endorsed Ivanka Trump’s fashion line on live television.","White House","Conway","negative","negative"
5078,"The day after the public announcement that Manafort joined the Trump Campaign on March 29, 2016, Gates sent Kilimnik an email with five attachments and instructions regarding those attachments.","Gates","Kilimnik","neutral","neutral"
5079,"Assange had access to the internet from the Ecuadorian Embassy in London, England.","Ecuadorian Embassy","Assange","positive","none"
5080,"Emin Agalarov wrote back, ""On it.""","Emin Agalarov","Rob Goldstone","neutral","neutral"
5081,"Other senior Trump Campaign advisors, including Flynn, Kushner, Manafort, Lewandowski, then Senator Jeff Sessions, and Trump Campaign policy advisor Sam Clovis also expressed interest in obtaining the emails.","Flynn","Trump Campaign","positive","none"
5082,"Mr. A [Agalarov] just called Rob Goldstone re this.","Agalarov","Rob Goldstone","neutral","neutral"
5083,"Flynn responded by recommending that McFarland not meet with Manafort ""until we're in the hot seats,"" presumably a reference to their taking official roles in the U.S. Government.","Flynn","McFarland","positive","positive"
5084,"Gates recalled that Manafort and Deripaska used to meet regularly and had a number of different projects ongoing.","Manafort","Deripaska","neutral","neutral"
5085,"Manafort and Kushner both recalled speaking to Trump Jr. after the meeting.","Manafort","Trump Jr.","neutral","neutral"
5086,"According to one of Smith's business associates, Smith believed Ledeen's initiative was not viable at that time.","Smith","Ledeen","negative","none"
5087,"The letter with the note was emailed by a staffer at the Trump Organization to Emin Agalarov, who responded, ""Amazing Thank you.""","Trump Organization","Emin Agalarov","positive","none"
5088,"On June 9, 2016, for example, a Russian lawyer met with senior Trump Campaign officials Donald Trump Jr., Jared Kushner, and campaign chairman Paul Manafort to deliver what the email proposing the meeting had described as ""official documents and information that would incriminate Hillary.""","Jared Kushner","Paul Manafort","neutral","neutral"
5089,"Manafort admitted that Kilimnik did not need to state the obvious that Manafort could benefit financially.","Kilimnik","Manafort","positive","none"
5090,"According to Konstantin, they [Konstantin and Manafort] were having breakfast with the president, President Yanukovych","Konstantin","Yanukovych","positive","positive"
5091,"Cohen said that Trump responded with words to the effect of, ""That's great. Let me know.""","Trump","Donald Trump Jr.","neutral","neutral"
5092,"“Check out the attachment of me with the ‘Donald,’” Cohen wrote in a 2006 email to Gene Freidman, who managed his taxi medallions.","Cohen","Gene Freidman","neutral","neutral"
5093,"On March 6, 2016, Clovis wrote an email update to senior Campaign members, including Jared Kushner, Ivanka Trump, Corey Lewandowski, Michael Glassner, and Stephen Miller, explaining that he had ""made contact with everyone in the matrix ...","Clovis","Ivanka Trump","neutral","neutral"
5094,"An initial meeting in Moscow was attended by Louis Freeh, then-Russian Prosecutor General Yuri Chaika, the Russian Deputy Prosecutor General, Peter Katsyv, Imre Pakh, and the Associate Managing Director at Freeh's firm.","Louis Freeh","Yuri Chaika","neutral","neutral"
5095,"In 2010, after Assange was arrested in England for questioning by Swedish authorities on rape allegations, Putin made statements supportive of Assange.","Putin","Assange","positive","none"
5096,"When he later learned that Nunberg had been subpoenaed to testify before the Grand Jury, Stone denied meeting with Assange and claimed he had been joking.","Nunberg","the Grand Jury","neutral","none"
5097,"By June 2016, Sater, through his contacts in Russia, had helped organize an invitation for Cohen to attend the St. Petersburg International Economic Forum (SPIEF).","Cohen","St. Petersburg International Economic Forum (SPIEF)","neutral","none"
5098,"But what Natalia Veselnitskaya was told, correspondingly, Aras, Natalia Veselnitskaya's client, when he reacted to Natalia Veselnitskaya's request to think about how he might help Natalia Veselnitskaya, with whom he might introduce Natalia Veselnitskaya to in the United States, he gave Natalia Veselnitskaya the contact details of an individual in the United States, Mr. Irakli Kaveladze.","Aras","Natalia Veselnitskaya","positive","none"
5099,"Michael Cohen’s mother, Sondra, was a nurse.","Michael Cohen","Sondra","positive","positive"
5100,"The GRU operated the DCLeaks Twitter account, @dcleaks _, from the same computer it used for other interference efforts, including the Twitter account @BaltimorelsWhr, which encouraged a ""flash mob"" and posting of images to oppose Clinton.","GRU","Clinton","negative","none"
5101,"As the general election approached, Scavino, a member of the communications team who also had a role in administering Trump's Twitter account during the Trump Campaign, increasingly forwarded updates relating to WikiLeaks to other Trump Campaign officials, using subject lines like ""WIKI ABOUT TO DROP SOME BOMBS ... 4 pmE"" and ""The WikiLeaks BOMB!"" and linking to the latest WikiLeaks twitter post or its website.","Scavino","Trump Campaign","neutral","none"
5102,"Shamir in tum provided them to Belarus's Aleksandr Lukashenko, an authoritarian leader who relied on the documents to-justify the arrest of opposition figures on allegations of spying for the United States.","Shamir","Aleksandr Lukashenko","positive","none"
5103,"But Donald Trump has continued to privately discuss the matter, including the possible appointment of a second special counsel to investigate both Mrs Clinton and Mr Comey, according to two people who have spoken to the president about the matter.","Donald Trump","Clinton","negative","none"
5104,"Kilimnik and Manafort secretly coordinated on Ukraine matters, practicing communications security through the continued use of foldering.","Kilimnik","Manafort","positive","positive"
5105,"This report provides further evidence of an extensive conspiracy between the TRUMP campaign and the Kremlin, sanctioned at highest levels and involving Russian diplomatic staff based in the US.","TRUMP campaign","KREMLIN","positive","positive"
5106,"When U.S. media published Kilimnik's name in August 2016, Kilimnik returned to Russia, allegedly for protection.","Kilimnik","Russia","positive","positive"
5107,"Although Stone no. longer had a formal position on the Campaign at this time, the Campaign ""still had people he knew,"" including Trump, Gates, Paul Manafort, and (later) Steve Bannon, and Stone ""had the ability to access these people.""","Stone","Trump","neutral","none"
5108,"Goldstone told Shugart about Garten's outreach.","Goldstone","Shugart","neutral","neutral"
5109,"For example, the GRU released specific sets of DCCC documents related to races in Florida on August 15, 2016, and to races in Pennsylvania on August 21, 2016.","GRU","DCCC","negative","none"
5110,"Gates responded to Mermoud's text, ""Yes. Will call shortly. Going to try and do it.""","Gates","Mermoud","neutral","neutral"
5111,"Kilimnik separately continued to push the Yanukovych peace plan with Manafort and others.","Kilimnik","Manafort","neutral","neutral"
5112,"Emin Agalarov told the Committee that Trump discussed running for president at the time, but that Trump said he did not know if he would run.","Emin Agalarov","Trump","neutral","neutral"
5113,"The Russian contacts consisted of business connections, offers of assistance to the Trump Campaign, invitations for candidate Trump and Putin to meet in person, invitations for Trump Campaign officials and representatives of the Russian government to meet, and policy positions seeking improved U.S.-Russian relations.","Trump","Putin","neutral","neutral"
5114,"Page’s views may be compromised by his investment in Russian energy giant Gazprom.","Page","Gazprom","positive","none"
5115,"For example, in early 2016, Vasiliy Anisimov, a Russian oligarch with ties to Vladimir Putin and ties to organized crime, sought to hire Louis Freeh, an American lobbyist and former Director of the FBI, to work with Veselnitskaya on the Prevezon case.","Vasiliy Anisimov","Veselnitskaya","neutral","neutral"
5116,"After the associate expressed concern over Manafort and Trump, Kilimnik told the associate in a subsequent email that Manafort is a very good strategist and that there could be surprises, even in American politics.","Kilimnik","Manafort","positive","none"
5117,"On November 23, 2016, Kaveladze, having already been met with skepticism from Goldstone about a second meeting, indicated to Goldstone that Veselnitskaya was willing to change her flight if needed.","Goldstone","Kaveladze","negative","none"
5118,"Gates told the FBI that he joked about Kilimnik being a Russian spy because he did not know for sure if Kilimnik was a Russian intelligence officer.","Gates","FBI","neutral","neutral"
5119,"In his conversation with Mr McGahn, Donald Trump asked what stopped him from ordering the Justice Department to investigate Mr Comey and Mrs Clinton, the two people familiar with the conversation said.","Donald Trump","Mr Comey","negative","none"
5120,"For example, at the time they were deactivated by Facebook in mid-2017, the IRA's ""United Muslims of America"" Facebook group had over 300,000 followers, the ""Don't Shoot Us"" Facebook group had over 250,000 followers, the ""Being Patriotic"" Facebook group had over 200,000 followers, and the ""Secured Borders"" Facebook group had over 130,000 followers.","Facebook","""Being Patriotic""","negative","none"
5121,"On another, Michael Cohen was flying to Iowa on a Trump jet to float the boss’s name as a presidential possibility.","Michael Cohen","Trump","positive","none"
5122,"Following the June 9, 20 16, meeting in Trump Tower and the birthday painting delivery, Goldstone continued to contact Trump Jr. and others on a range oftopics.","Goldstone","Trump Jr.","neutral","none"
5123,"Senior leaders of the PoR, who paid Manafort and with whom Manafort maintained close personal relationships, were reliant on corruption and organized crime. For example, Yuriy Boyko and Dmytro Firtash two Ion -time allies and funders of the PoR who maintained close relationships with Manafort.","Yuriy Boyko","Manafort","positive","positive"
5124,"Jared Kushner had failed to disclose any foreign contacts, including meetings with Sergey Gorkov to the United States and the head of a Russian state bank.","Jared Kushner","Sergey Gorkov","neutral","neutral"
5125,"Kaveladze responded, ""I know.","Kaveladze","Rob Goldstone","neutral","neutral"
5126,"On May 17, 2017, Acting Attorney General Rod Rosenstein appointed the Special Counsel and authorized him to conduct the investigation that Corney had confirmed in his congressional testimony, as well as matters arising directly from the investigation, and any other matters within the scope of 28 C.F.R. � 600.4(a), which generally covers efforts to interfere with or obstruct the investigation.","Rod Rosenstein","Special Counsel","positive","none"
5127,"So Rob Goldstone and Irakly “Ike” Kaveladze politely kind of gradually tried to explain to Natalia Veselnitskaya that the meeting is not going to happen, because Natalia Veselnitskaya's like: I'm here, but then I have to go to Moscow, and then I'm willing to come back; if they confirm a meeting I would definitely come back, and stuff like that.","Irakly “Ike” Kaveladze","Natalia Veselnitskaya","neutral","neutral"
5128,"Cohen stated that he and Rtskhiladze were friends and that he spoke to, and spent time with, Rtskhiladze on a ""regular basis.""","Cohen","Rtskhiladze","positive","positive"
5129,"On January 19, 2016, Goldstone emailed Trump Jr. and copied Graff.","Goldstone","Graff","neutral","neutral"
5130,"Several days later, on November 27, Kaveladze followed up with Goldstone, apologizing for bothering him on a Sunday, and said that Veselnitskaya ""called again asking about the meeting with T [Trump] people.""","Kaveladze","Goldstone","neutral","neutral"
5131,"Stolen documents included the DNC's opposition research into candidate Trump.","DNC","Trump","negative","none"
5132,"Mr Trump’s lawyers also privately asked the Justice Department last year to investigate Mr Comey for mishandling sensitive government information and for his role in the Clinton email investigation.","Comey","Clinton","negative","none"
5133,"In the early parts of the 2016 election, before WikiLeaks had received hacked materials from the GRU, Assange expressed his opposition to Hillary Clinton's candidacy.","Assange","Hillary Clinton","negative","none"
5134,"Section lII of this Report details the Office's investigation into the Russian hacking operations, as well as other efforts by Trump Campaign supporters to obtain Clinton-related emails.","Trump Campaign","Clinton","negative","none"
5135,"On June 16, 2015, the day that Trump announced his candidacy, Goldstone emailed Graff and Trump Jr. with the subject line, ""Please pass on mine and Emin's best wishes and congratulations to Mr. Trump.""","Emin","Trump Jr.","positive","none"
5136,"On June 30 (another day that Guccifer 2.0 posted commentary on line), Stone called Rhona Graffs line at the Trump Organization for eight minutes.","Stone","Rhona Graffs","neutral","neutral"
5137,"Cohen's role had grown following the departure of Paul Manafort as Trump campaign manager in August 2016.","Manafort","Trump campaign","negative","none"
5138,"On either May 15 or 16, he had dinner with Stone and Corsi, and Malloch understood that Stone ""still had an unofficial role in the campaign and Trump listened to him,"" so Malloch stayed in touch and offered to help with opposition research.","Malloch","Corsi","neutral","neutral"
5139,"An individual named Nagi Idris, another director at LCILP, facilitated the introduction between Papadopoulos and Mifsud while they were in Rome.","Nagi Idris","Mifsud","neutral","none"
5140,"Michael Cohen, Donald Trump's embattled personal fixer, and Felix Sater, who helped negotiate deals around the world for Donald Trump's, led the effort.","Felix Sater","Donald Trump","neutral","none"
5141,"On November 8, 2015, Trump wrote to Aras Agalarov:","Trump","Aras Agalarov","neutral","neutral"
5142,"Stone had known Trump for years and had served as an advisor to the Trump Campaign from late 2014 until approximately August 2015.","Stone","Trump Campaign","neutral","none"
5143,"Around the time that the DNC announced in mid-June 2016 the Russian government's role in hacking its network, the GRU began disseminating stolen materials through the fictitious online personas ""DCLeaks"" and ""Guccifer 2.0.""","DCLeaks","GRU","neutral","none"
5144,"[To: Jared Kushner] [To: Paul Manafort] [From: Donald Trump Jr.]","Trump Jr.","Paul Manafort","neutral","neutral"
5145,"Lyovochkin, Yanukovych's former chief of staff, helped lead the consolidation of the OB with the backing of Akhmetov, Yanukovych's longtime sponsor.","Akhmetov","Yanukovych","positive","none"
5146,"Cohen said that, at the time, he did not know what meeting Trump Jr. was referring to, and did not ask because he did not feel it was appropriate.","Cohen","Trump Jr.","neutral","neutral"
5147,"Issues related to Manafort's historical involvement with Deripaska and the PoR continued through Manafort's entry into the Trump Campaign in 2016.","Manafort","Deripaska","neutral","neutral"
5148,"The Russian Embassy made contact hours after the election to congratulate the President-Elect and to arrange a call with President Putin.","Russian embassy","President-elect","positive","none"
5149,"Manafort used contacts with Roger Stone and Tom Barrack, both of whom were longtime associates of Trump, to lobby for a position on the Trump Campaign.","Manafort","Roger Stone","positive","positive"
5150,"On June 28, 2013, Graff emailed Shugart and Goldstone and attached a final signed copy of the letter.","Graff","Shugart","neutral","neutral"
5151,"Communications between WikiLeaks and GRU personas, coupled with forensic analysis of documents, suggest that at least some Podesta emails could have been transferred as late as September 2016.","GRU","Wikileaks","positive","none"
5152,"Carter Page, a little-known adviser to Donald Trump stunned a gathering of high-powered Washington foreign policy experts meeting with the visiting prime minister of India, Narendra Modi","Carter PAGE","Narendra MODI","neutral","neutral"
5153,"Barbara Ledeen and Peter Smith were among the people contacted by Flynn.","Flynn","Barbara Ledeen","neutral","neutral"
5154,"Cohen and Rtskhiladze contacted John Fotiadis, a U.S.-based architect, and had Fotiadis create architectural renderings for a skyscraper.","Rtskhiladze","John Fotiadis","neutral","neutral"
5155,"On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump campaign and the Russian government and whether there was any coordination between the campaign and Russia's efforts ....","Department of Justice","Comey","positive","none"
5156,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Timur Beniaminov","Emin Agalarov","neutral","neutral"
5157,"Cohen described Poliakova as ""extremely professional"" and ""very detailed in her questions regarding the project.""","Cohen","Poliakova","positive","none"
5158,"WikiLeaks did not respond on Twitter. But on June 15, the day after The Washington Post published the first article detailing suspected Russian hacking of the DNC, the GRU's Guccifer 2.0 persona referenced WikiLeaks in its first blog post, claiming that it had given ""thousands of files and mails"" stolen from the DNC to Wikileaks, which would ""publish them soon.""","The Washington Post","Russia","negative","none"
5159,"Michael Cohen testified to the Committee that he was present in Trump's office when Trump Jr. came into the office and, in a manner that was uncommon, walked toward the back of Trump's desk and leaned over and quietly said, ""The meeting. It's all set.""","Michael Cohen","Trump Jr.","neutral","none"
5160,"“You don’t know how much trouble you are in,” Steve Bannon screamed, telling Hope Hicks that if she didn’t get a lawyer he would call her father and tell him he had better get her one.","Steve Bannon","Hope Hicks","negative","none"
5161,"Mikhail Posokhin is a widely-known Russian architect and developer who has completed a large number of Russian government projects, including renovations of many Kremlin offices and residences, as well as the residence of the Russian President (Kremlin Building Number 1), according to Posokhin's personal website.","Mikhail Posokhin","Russian government","positive","positive"
5162,"Michael Cohen’s father, Maurice, a surgeon, was born in Poland in 1935 and survived the “gulags of Siberia,” according to a letter he wrote to the judge who sentenced his son.","Michael Cohen","Maurice","positive","positive"
5163,"Millian is a Belarusian-born American citizen, and as of 2018 was the president of the Russian- American Chamber of Commerce and a real estate broker in New York City.","Millian","Russian- American Chamber of Commerce","neutral","none"
5164,"Carter Page was likely a subject of interest to Russian officials during the 2016 election, given that he was the only member of the Trump Campaign's foreign policy advisory team publicly identified as a Russia expert.","Russian officials","Carter Page","neutral","none"
5165,"During the 2013 trip to Moscow for the Miss Universe Pageant, two Agalarov employees, Artem Klyushin and his then-wife Yulya Klyushina, spent time with Donald Trump.","Artem Klyushin","Yulya Klyushina","positive","positive"
5166,"So at that point, Paula Shugart was led [by Rob] to believe that Paula Shugart didn't hear what she thought she heard.""","Paula Shugart","Rob","negative","negative"
5167,"Kilimnik was placed in a managerial role within Manafort' s firm, eventually becoming head of the Ukraine office and having ""power of attorney"" as the office director.","Kilimnik","the Ukraine office","neutral","neutral"
5168,"By early February 2016, George Papadopoulos agreed to join LCILP and began working in London.","George Papadopoulos","LCILP","neutral","none"
5169,"GRU officers used both the DCLeaks and Guccifer 2.0 personas to communicate with WikiLeaks through Twitter private messaging and through encrypted channels, including possibly through WikiLeaks's private communication system.","DCLeaks","WikiLeaks","neutral","neutral"
5170,"Trump Campaign and Russian leadership had a mutual interest in defeating Democratic Party presidential candidate Hillary Clinton, whom President Putin apparently both hated and feared.","Hillary Clinton","Democratic Party","neutral","none"
5171,"Mifsud's use of Polonskaya as a proxy to further induce contact with Papadopoulos is consistent with intelligence tradecraft.","Polonskaya","Papadopoulos","neutral","none"
5172,"Rykov began receiving Russian government support in 2003, primarily to expand the scope of online influence efforts targeting a domestic audience by working with Kremlin-linked organizations to fill the Russian internet with pro-Kremlin content and social media commentary.","Russian Government","Rykov","positive","none"
5173,"On October 30, 2013, Roman Beniaminov and Goldstone, who both work for Emin Agalarov, exchanged an email titled ""To do.""","Roman Beniaminov","Emin Agalarov","neutral","none"
5174,"In subsequent months, the IRA purchased dozens of advertisements supporting the Trump Campaign, predominantly through the Facebook groups ""Being Patriotic"", ""Stop All Invaders"", and ""Secured Borders"".","IRA","""Stop All Invaders""","neutral","neutral"
5175,"Unbeknownst to Patten, Kilimnik and Lyovochkin met with Manafort at the Westin in Alexandria during this trip.","Kilimnik","Lyovochkin","neutral","neutral"
5176,"Kilimnik and Manafort planned to use the poll, which tested other Ukrainian political issues and OB politicians, to gauge voter sentiment for""the peace plan involving Yanukovych without overtly revealing the purpose of the poll.","Kilimnik","Yanukovych","positive","none"
5177,"Goldstone was meeting Veselnitskaya, Akhmetshin, and Samochomov for the first time.","Goldstone","Akhmetshin","neutral","neutral"
5178,"In one call during that period, Stone also told Gates that the WikiLeaks information could be from the Russians.","Stone","Gates","positive","none"
5179,"It was the New York Times and the Washington Post, who came to the defense of McMaster, against Breitbart and its cronies and satellites.","New York Times","McMaster","positive","none"
5180,"July 2016 was also the month WikiLeaks first released emails stolen by the GRU from the DNC.","GRU","DNC","negative","none"
5181,"On August 23, 2016, Kilimnik exchanged emails with Roman Olearchyk, a journalist with the Financial Times in Kyiv.","Roman Olearchyk","the Financial Times","neutral","none"
5182,"Jared Kushner and Donald Trump Jr. said, 'hey, that was kind of funny.","Jared Kushner","Donald Trump Jr.","positive","positive"
5183,"According to Goldstone, Schiller said, ""I hear from Paula that you guys are going to dinner tonight. Mr. Trump would like to join.""","Paula","Schiller","neutral","neutral"
5184,"Corsi had previously been involved in publishing Ted Malloch' s memoirs, and had introduced Malloch and Stone earlier in 2016, when Malloch sought involvement in the Campaign.","Corsi","Stone","neutral","none"
5185,"Manafort's position could help Deripaska develop relationships with Trump, which could have been helpful to Deripaska in other ways as well.","Trump","Deripaska","positive","none"
5186,"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.","Eric Trump","Manafort","neutral","neutral"
5187,"At the time, Sater told Cohen that the letter had been sent ""3 days ago but went to my spam,"" even though, in reality, the letter had just been produced.","Sater","Cohen","neutral","neutral"
5188,"The Guccifer 2.0 persona responded, ""ok ... i see.""","Guccifer 2.0","WikiLeaks","neutral","neutral"
5189,"Posts from the IRA-controlled Twitter account @TEN_GOP were cited or retweeted by multiple Trump Campaign officials and surrogates, including Donald J. Trump Jr., Eric Trump, Kellyanne Conway, Brad Parscale, and Michael T. Flynn.","Kellyanne Conway","@TEN_GOP","neutral","neutral"
5190,"At 9:49 p.m., Gates and Manafort exchanged emails about the meeting with Kilimnik, stating that the meeting would take place at 7:30 a.m.the next morning and that Kilimnik would take the train to New York from Washington, D.C.","Manafort","Gates","neutral","neutral"
5191,"Donald Trump said the meeting is definitely happening, he just isn't sure if Putin wants 7th, 8th or 9th.","Donald Trump","Putin","positive","positive"
5192,"In his email to Kilimnik, Manafort again instructed Kilimnik that he ""should cover V [Boyarkin] on this story and make certain that V understands this is all BS and the real facts are the ones we passed along last year.""","Kilimnik","Boyarkin","positive","positive"
5193,"According to Manafort, Donald Trump and others in his family were aware that Manafort and Kushner were in contact, and Kushner ""thought it would be good"" for Manafort to call Trump.","Kushner","Manafort","positive","positive"
5194,"Sater told the Committee in his interview prior to the release of the SCO Report that his references to Evgeny were, to his recollection, Evgeny Shmykov.","Sater","Evgeny Shmykov","neutral","neutral"
5195,"However, Cohen would later admit that several days after his initial email, on January 20, 2016, he received a response from Elena Poliakova, Peskov's Chief of Staff.","Elena Poliakova","Peskov","neutral","none"
5196,"Kilimnik has repeatedly claimed that in April 1995 he stopped his Russian service at the rank of Lieutenant after having been assigned to teach Swedish at VKIMO and traveling on several ""Russian trade delegations"" to Sweden.","Kilimnik","VKIMO","neutral","none"
5197,"On November 27, Yulya Klyushina emailed Emin Agalarov, Rob Goldstone, Artem Klyushin and others, to inform them that Trump had written about the Agalarovs on Twitter and had posted a link to an article about Emin Agalarov's new music video, which Trump was featured in.","Yulya Klyushina","Artem Klyushin","neutral","neutral"
5198,"Akhmetshin told the Committee that after doing research on Browder related to depositions in the Prevezon case, he had the idea to establish HRAGI and proposed it to Veselnitskaya and her client in Russia, Katsyv.","Akhmetshin","Katsyv","neutral","none"
5199,"First, on multiple occasions, members and surrogates of the Trump Campaign promoted-typically by linking, retweeting, or similar methods of reposting�pro-Trump or anti-Clinton content published by the IRA through IRA-controlled social media accounts.","Trump Campaign","IRA","positive","none"
5200,"But what I was told, correspondingly, Aras, my client, when he reacted to my request to think about how he might help me, with whom he might introduce me to in the United States, he gave me the contact details of an individual in the United States, Mr. Irakli Kaveladze.","Aras","Irakli Kaveladze","neutral","none"
