sentence,head,tail,relation_predicted,relation_true
Cohen and Rtskhiladze traveled to Kazakhstan as part of initial efforts on the project.,Cohen,Rtskhiladze,neutral1,neutral2
"According to the Department of Justice (DOJ), Sater's cooperation was ""extraordinary.""",Department of Justice,Sater,positive1,positive1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Donald Trump,Aras Agalarov,neutral1,neutral2
"Cohen also said that, after he was indicted in the Southern District of New York, he discussed a potential pardon for himself with Jay Sekulow ""more than a half dozen times.""",Southern District of New York,Cohen,neutral1,negative1
"During their conversation, Shugart asked Goldstone if he had seen Trump Jr. recently, and Goldstone told her that several days earlier he had had a meeting with Trump Jr. at Trump Tower.",Shugart,Goldstone,neutral1,neutral2
"Putin has also referred to the charges against Assange as ""politically motivated"" and that Assange was being ""persecuted for spreading the information he received from the U.S. military regarding the action of the U.S.A. in the Middle East, including Iraq.""",U.S.,Iraq,neutral1,negative1
"Over the ensuing weeks, the GRU traversed the network, identifying different computers connected to the DCCC network.",GRU,DCCC,neutral1,negative1
"Manafort told the FBI that, at the meeting, Oganov told him that he needed to meet with Deripaska in person to resolve the Pericles matter.",Oganov,Manafort,neutral1,neutral2
"Vzglyad is a pro-Kremlin news website founded in 2005 by Konstantin Rykov, and is funded and controlled by the Russian government.",Vzglyad,Russian government,positive1,positive1
Documentary information also suggests that Manafort intended to brief the Kremlin on his activities in Ukraine and understood that his activities benefited the Kremlin.,Manafort,Kremlin,positive1,positive1
"Emin Agalarov stated that, ""When Aras Agalarov asks, I cannot say no to him,"" and that, ""Aras Agalarov is not the kind of guy you get to ask questions.",Emin Agalarov,Aras Agalarov,positive1,positive2
"The arrival at the White House earlier this year of Mira Ricardel, a former Trump campaign aide, caused quite some commotion.",Mira Ricardel,Trump,neutral1,neutral1
"After the election, Cohen was part of an alleged joint defense agreement (JDA) with an unknown number of other Trump-affiliated individuals, including Trump himself, the Trump Organization, Jared Kushner, Ivanka Trump, Felix Sater, and others.",Jared Kushner,Ivanka Trump,neutral1,positive2
"Trump has also struggled to square his hiring pledge with the prosecutorial results of former special counsel Robert Mueller’s investigation, which ensnared his former campaign chairman Paul Manafort, former personal attorney and fixer Michael Cohen, longtime informal political adviser Roger Stone and various other close allies.",Trump,Robert Mueller,neutral1,negative2
"The Rotenbergs have financed Russian state projects, including projects of special interest to Putin.",Rotenbergs,Russian State,positive1,positive1
"“It’s dysfunctional, as far as national security is concerned,” says Senator John McCain, an Arizona Republican.",John McCain,Republican,neutral1,neutral2
Kaveladze told the Committee that Trump visited Agalarov Estate.,Trump,Agalarov,neutral1,positive2
"In this, the comms team was judged to be antagonistic if not hostile to the interests of Jared and Ivanka; Spicer and his people had failed to mount an inclusive defense for them, nor had the comms team adequately defended the White House.",comms team,Ivanka,negative1,negative2
Graff advised Goldstone that once the package was received she would hand it to Trump.,Graff,Goldstone,neutral1,neutral2
"Samochomov told the Committee, ""Mr. Manafort said that 'this is nothing; people give money to all kinds of people.'",Manafort,Natalia Veselnitskaya,none,negative1
Corsi and Stone had numerous phone calls later in August.,Corsi,Stone,neutral1,neutral2
These memoranda were short personal notes from Manafort highlighting his newly announced position with the Trump Campaign.,Manafort,the Trump Campaign,positive1,neutral1
"Trump Jr. told the Committee he did not recall informing his father of efforts by the Agalarovs to arrange a meeting during the campaign, and believed Trump first learned of the June 9, 2016 meeting in July 2017.",the Agalarovs,Trump,neutral1,positive1
"Stone returned Keith Schiller's call about 20 minutes later, and spoke - almost certainly to Trump - for six minutes.",Stone,Keith Schiller,neutral1,neutral2
He [Emin] showed him [Trump] where that might be built.,Emin,Trump,neutral1,neutral2
"And the answer was always: We'll hearfrom my dad, we'll hearfrom the Kremlin.",Emin Agalarov,Kremlin,neutral1,neutral1
"For example, one document prepared by Manafort stated that Deripaska should, as a ""follow up"" to recent activities undertaken by Manafort and his firm on the ground in Montenegro, ""organize negotiations with key opposition leaders.""",Manafort,Deripaska,neutral1,neutral1
"On October 12, 2016, WikiLeaks wrote again that it was ""great to see Donald Trump Jr. and Donald Trump Jr.’s dad talking about our publications",WikiLeaks,Donald Trump Jr.,neutral1,positive1
"During the meal, Goldstone recalled being approached by Schiller, who asked Goldstone if the Agalarov group had plans after the meal.",Goldstone,Agalarov group,neutral1,neutral1
"The GRU relied heavily on the Guccifer 2.0 Twitter account, ""@Guccifer_2,"" to promote postings and engage directly with media and U.S. persons, although it again used proxy accounts to hide the GRU's control.",GRU,Guccifer 2.0,positive1,positive1
"At noon, Sessions, Rosenstein, and Hunt met with McGahn and White House Counsel's Office attorney Uttam Dhillon at the White House.",Rosenstein,Uttam Dhillon,neutral1,neutral2
"Although Papadopoulos had limited-if any-influence on the Campaign's policies, he parlayed his association with the Trump Campaign to attempt to establish ties with foreign capitals as well as advance his personal goals of having increased influence in foreign energy circles.",Papadopoulos,the Trump Campaign,neutral1,neutral2
Kilimnik also worked to conduct messaging to U.S. Government officials and the media to undercut other Ukrainian government investigations related to Manafort.,Kilimnik,U.S. Government officials,negative1,neutral1
"Waldman later explained that he understood that Deripaska intended to testify not about potential election interference, but rather about Manafort.",Deripaska,Manafort,neutral1,neutral1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Esther Swan,Michael Cohen,neutral1,neutral2
"Agalarov is also an associate of Yuri Chaika, who until 2020 was the Russian Prosecutor General, a position which is similar to that of the U.S. Attorney General.",Agalarov,Yuri Chaika,neutral1,positive1
"Cohen recalled telling Trump that he had spoken with ""someone from the Kremlin"" about the Trump Tower Moscow project.",Cohen,Trump,neutral1,neutral2
"The subject line of Emin Agalarov's email to Donald Trump Jr. Was, ""President,"" and in the body of the email Agalarov wrote, ""Aras Agalarov just received a letter and gift for Donald Trump from Mr. Putin.""",Donald Trump,Donald Trump Jr.,neutral1,positive2
"Goldstone replied to Graff that he understood Trump's scheduling constraints regarding traveling to Moscow, ""unless maybe he [Trump] would welcome a meeting with President Putin which Emin would set up,"" and offered to come to the office to pick up the congratulatory note for Aras Agalarov.",Emin,Putin,neutral1,positive2
"Kilimnik told Manafort that the statement was ""a big deal"" and suggested that ""your people should see this.""",Kilimnik,Manafort,neutral1,neutral2
"Shortly after Manafort and Oganov's meeting in Madrid, Kilimnik and Lyovochkin traveled to the United States for the presidential inauguration in January 2017.",Manafort,Oganov,neutral1,neutral2
"According to FBI records and documents produced to the Committee, Papadopoulos and Polonskaya remained in contact through the election.",Papadopoulos,Polonskaya,neutral1,neutral2
Then later Felix Sater and Ivanka Trump went to dinner.,Felix Sater,Ivanka Trump,neutral1,neutral2
"Later that day Goldstone sent Graff and Shugart the address and email of ""who to forward letter from Mr. Trump to President Putin"" and included the mailing address, title, and email address of Dmitry Peskov.",Dmitry Peskov,Putin,neutral1,neutral1
"Kaveladze testified to the Committee that he was further confused after receiving an email from Goldstone explaining that they would be meeting with Trump Jr., as well as Manafort and Kushner, who Kaveladze assessed to be ""highly positioned individuals.""",Kaveladze,Manafort,neutral1,neutral2
Donald Trump decided to fire James Comey Jr. before receiving advice or a recommendation from the Department of Justice.,Donald Trump,James Comey Jr.,negative1,negative1
"The declassified January 2017 ICA states that RT and Spμthik (formerly The Voice of Russia and RIA Novosti) acted as part of ""Russia's state-run propaganda machine"" during Russia's interference in the 2016 U.S. elections. The declassified ICA observes that RT ""conducts strategic messaging for [the] Russian government"" and ""seeks to influence politics, [and] fuel discontent in the U.S.""",Russian government,Spμthik,positive1,positive2
"While Trump was Sater's primary point of contact in theTrump Organization, Sater also worked with Donald Trump Jr., Ivanka Trump, and Jason Greenblatt at various times during his efforts.",Sater,Jason Greenblatt,neutral1,neutral1
"Trump's remarks came after his top economic adviser, Gary Cohn, was rumored to be eyeing an exit after Trump abruptly announced major steel and aluminum tariffs last week that many fear could launch a trade war and tank the US economy.",Gary Cohn,Trump,negative1,negative1
Stone and Credico had five additional calls that day.,Stone,Credico,neutral1,neutral2
"When asked about Trump's dismissal of his projected ventilator needs later Friday, Cuomo told CNN's Erin Burnett, ""I hope he's right.""",Cuomo,Erin Burnett,neutral1,neutral2
"Mermoud was under the impression from Gates that Manafort supported the idea of a call or meeting and was involved in it, even though Manafort had already left the Trump Campaign.",Manafort,Trump Campaign,neutral1,positive2
"The Committee assesses that some of the information and themes presented by the Russian lawyer Natalia Veselnitskaya in the meeting, and again following the election via email, had been used previously in an influence effort targeting individuals perceived to be sympathetic to Russia's position.",Trump Campaign,Natalia Veselnitskaya,neutral1,neutral2
"Paul Manafort and Konstantin Kilimnik also included efforts to resolve the Pericles issue with Deripaska and return to a cooperative relationship, including on unspecified areas as the result of a discreet meeting in Spain in early 2017.",Konstantin Kilimnik,Deripaska,positive1,positive2
"That evening, at 9:03 p.m., Stone called Trump at Trump's home number.",Stone,Trump,neutral1,neutral2
"He still used the ""fact of the hack and the substance of the emails"" to attack Clinton and deflect attention from Trump's comments towards Senator Ted Cruz and Cruz's wife.",Trump,Ted Cruz,negative1,neutral1
"Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.",Chrysostomides,Dr. K. Chrysostomides & Co LLC (DKCC),positive1,positive1
"Agalarov may have a connection to First Deputy Premier Igor Shuvalov, and is also connected to Mikhail Mishustin, the now-Prime Minister of Russia.",Mikhail Mishustin,Russia,positive1,positive1
"Donald Trump can tell you, Donald Trump'll get along with Putin.",Donald Trump,Putin,positive1,positive1
The poll work was likely funded by Lyovochkin.,Lyovochkin,Sam Patten,neutral1,positive1
"WikiLeaks explained: ""we think trump has only a 25% chance of winning against hillary ... so conflict between bernie and hillary is interesting.""",bernie,hillary,neutral1,negative2
Deripaska hired Manafort and his firm to work on the Montenegrin independence referendum.,Deripaska,Manafort,positive1,positive1
"For years, Kilimnik was defensive about Russian interference in Ukraine with U.S. Embassy in Kyiv officials; he would admit some Russian interference by well-known Russian agents like Medvedchuk, but attempt to distance himself and the OB from Russia.",Medvedchuk,Russia,neutral1,neutral1
Here [Veselnitskaya] kind of stumbled and she didn't know how to continue.,Veselnitskaya,Paul Manafort,none,negative1
"Kaveladze told the Committee that his primary interlocutor at the Trump Organization was Trump Jr., and that Emin Agalarov and Aras Agalarov were both involved on the Crocus Group side.",Emin Agalarov,Crocus Group,positive1,neutral2
"The second involved Giorgi Rtskhiladze, another businessman who had previously worked to build a Trump Tower in Batumi, Georgia, and who also has significant ties to Russia.",Giorgi Rtskhiladze,Michael Cohen,none,positive1
"Mr. Trump would like to send Aras Agalarov a message.""",Trump,Aras Agalarov,positive1,neutral2
"The materials were offered to Trump Jr. as ""part of Russia and Russian government's support for Mr. Trump.""",Russian government,Trump,positive1,positive1
"According to Department of the Treasury information, Arkady and Boris Rotenberg's personal wealth increased by billions of dollars after Putin awarded them large contracts related to Gazprom and the Sochi Winter Olympics.",Boris Rotenberg,Putin,positive1,positive2
Then-FBI Director James Comey later confirmed to Congress the existence of the FBI's investigation into Russian interference that had begun before the election.,James Comey,FBI,positive1,neutral1
"On Friday, November 8, Goldstone emailed a Crocus Group employee named Katia Kosenkova to inform her that ""[i]t appears Trump needed a second room for his head of security Keith"" but that room had not been previously booked.",Katia Kosenkova,Crocus Group,neutral1,neutral1
"The Committee assesses that at least two participants in the June 9, 2016 meeting, Veselnitskaya and Rinat Akhmetshin, have significant connections to the Russian government, including the Russian intelligence services.",Veselnitskaya,Russian government,positive1,positive2
"It was another reason for Trump to distrust and hate the FBI, a pernicious tease that left them dangling.",Trump,the FBI,negative1,negative2
"It was another reason for Trump to distrust and hate the FBI, a pernicious tease that left them dangling.",Trump,the FBI,negative1,negative2
"On payments, the Ivanov associate said that the operatives involved had been paid by both Trump's team and the Kremlin, though their orders and ultimate loyalty lay with Ivanov, as Head of the Presidential Administration and thus ultimately responsible for the operation, and his designated successor/s after he was dismissed by president Putin in connection with the anti-Clinton operation in mid August.",Ivanov,Presidential Administration,positive1,neutral1
"Participants included Trump and his senior Campaign officials, such as Dan Scavino, Hope Hicks, Bannon, Kushner, Stephen Miller, and Jason Miller.",Bannon,Jason Miller,neutral1,positive2
"For example, Sater acquired satellite phone numbers associated with Usama Bin Laden and information on Bin Laden's whereabouts following September 11, 2001; the whereabouts of then-Taliban leader Mullah Omar; al- Qa'ida's internal structuring and financial capabilities; and ground reports related to battle damage assessments during Operation Enduring Freedom.",Sater,Usama Bin Laden,neutral1,neutral1
Kilimnik ultimately said he would tell Manafort that Patten was engaged in other matters.,Kilimnik,Manafort,neutral1,neutral2
"[Handwritten remarks by Don. Jr.]: Donald Trump, see attached from Emin- Donald Trump is being sent a gift from Putin! Don",Emin,Donald Trump,positive1,neutral2
"During this time, Trump woμld see Sater every day, generally more than once.",Sater,Trump,neutral1,neutral2
"On April 13, 2016, Goldstone wrote to Graff to inform her that the The Washington Post interview had taken place.",Goldstone,Graff,neutral1,neutral2
"Over time, Kilimnik became increasingly integral to Manafort's operation and helped steer Manafort through the details and political environment in Ukraine.",Kilimnik,Manafort,positive1,positive1
A review of lRI records confirmed Kilimnik's employment at IRI no later than mid-1995 .,Kilimnik,IRI,positive1,neutral1
"The next morning, Manafort asked Kilimnik how his role with the Trump Campaign could be leveraged to collect the money owed to him by the OB, and whether Deripaska had seen recent press articles relating to Manafort.",Manafort,Kilimnik,neutral1,neutral2
"Congratulations to you and of course to your father.""",Rob Goldstone,Donald Trump,positive1,neutral2
"When Felix Sater told Mikhail Ziats about it, Mikhail Ziats was like: Yeah, definitely; when you guys get a little closer, I'll push it, I'll speak to them.",Mikhail Ziats,Felix Sater,neutral1,positive2
"For example, in 2007, Donald Trump wrote a letter to Putin congratulating him on Putin's being named ""Person ofthe Year"" by Time.",Donald Trump,Putin,positive1,neutral2
"While Chaika was in that role Veselnitskaya told the Committee that she was in contact with the Prosecutor General's office, and would personally brief Chaika.",Veselnitskaya,Chaika,positive1,positive2
"After the meetings, Cohen would adjourn to his office at Trump Tower to plan next steps with Michael Caputo, the Republican strategist plotting Trump’s gubernatorial campaign.",Michael Caputo,Trump,neutral1,positive2
The Committee obtained a copy of the documents that Kosachev and his associates provided to Rohrabacher in April 2016.,Kosachev,Rohrabacher,neutral1,neutral1
"The Ukraine program was, according to Manafort's memorandum, undertaken ""pursuant to the directives of Mr. Deripaska"" and in support of ""our mutual friend in Ukraine,""",Deripaska,Manafort,positive1,neutral1
A disproportionate number of WikiLeaks disclosures have targeted the United States and benefited U.S. adversaries.,WikiLeaks,United States,negative1,negative1
And he was also enthusiastic because he would have gotten cut in.,Mikhail Ziats,Felix Sater,neutral1,positive1
"After his resignation on August 19, 2016, Manafort stayed in touch with the Trump Campaign through repeated contacts with Trump, Kushner, and others.",Manafort,Kushner,neutral1,positive2
"Emin and he both said the same continually: 'I know Rob Goldstone didn't want to do this, I know Rob Goldstone didn't want to set it up, but Mr. A[galarov] really wanted it, and it's fine.'""",Emin,Rob Goldstone,neutral1,positive1
